Число заявок,Дата договора,Тарифный план,Физ/Юр,Тип кл,Дата снятия
0,43002,EIPTV ТВ Легкая цена + (ХФ)К,Физическое лицо,Единый договор,43830
0,42576,WG 200 Мб/с Кр ХФ,Физическое лицо,ШПД Коммерческий,43830
0,43469,ДВ-1 200 Кр ХФ,Физическое лицо,Единый договор,43830
0,43818,НГ2019 1гр 160 Кр ХФ,Физическое лицо,ШПД Коммерческий,43830
0,43469,EIPTV Для выгоды Кр (ХМФ),Физическое лицо,Единый договор,43830
0,42576,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43830
0,40956,ВЦ-2 25Мб/с ХФ1 Кр,Физическое лицо,ШПД Коммерческий,43830
0,43002,ЛЦ-3 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43830
0,39465,ДИнт new 1гр 100 Кр ХФ,Физическое лицо,Единый договор,43830
0,43662,ПП ДБВпак+АВ+MVNO 1гр 120 К ХФ,Физическое лицо,Единый договор,43830
0,43662,ПП EIPTV Для б/впечат. (ХМФ)К,Физическое лицо,Единый договор,43830
0,43442,ДВ-1 200 Кр ХФ,Физическое лицо,Единый договор,43830
0,40970,БИ 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43830
0,41532,newОБИ 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43830
0,43303,БИ 35гр 120 Кр ХФ,Физическое лицо,Единый договор,43830
0,41269,EIPTV Для впечатл Акция3(ХМФ)К,Физическое лицо,ШПД Коммерческий,43829
0,42701,ДИнт new 1гр 100 Кр ХФ,Физическое лицо,Единый договор,43830
0,43775,ДИнт+MVNO 1гр 150 Кр ХФ,Физическое лицо,Единый договор,43830
0,43563,ДИнт пак+MVNO 1гр 200 К ХФ,Физическое лицо,Единый договор,43830
0,43563,EIPTV Для впечатл. везде(ХМФ)К,Физическое лицо,Единый договор,43830
0,40473,EIPTV НГ2019-2 (ХМФ)К,Физическое лицо,Единый договор,43831
0,41508,EIPTV НГ2019-2 (ХМФ)К,Физическое лицо,Единый договор,43830
0,43303,EIPTV Будем вместе. Лег.(ХФ) К,Физическое лицо,Единый договор,43830
0,42040,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43829
0,42542,newОБИ 21гр 60 Кр ХФ,Физическое лицо,ШПД Коммерческий,43816
0,40973,ДИ в пак 2Мб Гор DSL Кр ХФ,Физическое лицо,ШПД Коммерческий,43826
0,42453,EIPTVБольшой Пакет(ХМФ)К,Физическое лицо,ШПД Коммерческий,43826
0,43468,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43825
0,41935,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43834
2,41793,НГ2020 1гр 160 Кр ХФ,Физическое лицо,ШПД Коммерческий,43833
3,41670,БИ 21гр 60 Кр ХФ,Физическое лицо,Единый договор,43834
0,40542,ДИнт+MVNO 1гр 150 Кр ХФ,Физическое лицо,ШПД Коммерческий,43834
0,41953,Суточный Г Кр ХФ,Физическое лицо,Единый договор,43834
0,43612,EIPTV Для впечатл Акция (ХМФ)К,Физическое лицо,Единый договор,43831
3,41430,БИ 35гр 120 Кр ХФ,Физическое лицо,ШПД Коммерческий,43833
0,41794,БИ 35гр 50 Кр ХФ,Физическое лицо,Единый договор,43834
0,42598,EIPTVБольшой (ХМФ)К,Физическое лицо,ШПД Коммерческий,43834
1,42598,БИнт 21гр 15 К ХФ,Физическое лицо,ШПД Коммерческий,43834
0,43736,EIPTV Для впечатл Акция3(ХМФ)К,Физическое лицо,Единый договор,43834
0,43386,ДИнт в пак 1гр 100 Fttb Кр ХФ,Физическое лицо,Единый договор,43829
0,43386,EIPTV Для впечатлений (ХМФ)К,Физическое лицо,Единый договор,43829
0,41579,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43824
0,43692,EIPTV Смелое решение-1(ХМФ)К,Физическое лицо,Единый договор,43827
0,41424,НГ2019 1гр 160 Кр ХФ,Физическое лицо,ШПД Коммерческий,43831
0,41532,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43830
0,43773,EIPTV Для выгоды Кр (ХМФ),Физическое лицо,Единый договор,43825
0,43359,ДИнт в пак 1гр 50 Ав ХФ,Физическое лицо,Единый договор,43834
0,43359,EIPTV Для впечатлений (ХМФ),Физическое лицо,Единый договор,43834
3,43294,ДИнт new 1гр 100 Кр ХФ,Физическое лицо,Единый договор,43834
0,43731,ДВ-1 200 Кр ХФ,Физическое лицо,Единый договор,43802
0,42591,EIPTVБольшой Пакет(ХМФ)К,Физическое лицо,Единый договор,43834
1,43618,ДИнтА 1гр 100 Кр ХФ,Физическое лицо,Единый договор,43832
1,42591,БИнт 21гр 120 К ХФ,Физическое лицо,Единый договор,43834
0,40718,НГ2019 1гр 160 Кр ХФ,Физическое лицо,ШПД Коммерческий,43831
0,41840,НГ2019 1гр 160 Кр ХФ,Физическое лицо,ШПД Коммерческий,43831
0,43103,НГ2019 1гр 160 Кр ХФ,Физическое лицо,Единый договор,43831
0,43703,ДИнтА Wink 1гр 120 Кр ХФ,Физическое лицо,Единый договор,43835
